Year,Product Type,Product/Title,Plot/Notes,Tags
2015,website,"godaddy.com """"""working""""""",a guy misses the super bowl party so he can work on his ebusiness.,"[('website', 1.0), ('godaddy', 0.8086), ('misses', 0.3785), ('com', 0.3604), ('working', 0.3506)]"
2015,website,"squarespace """"""om""""""","jeff bridges hums ""om"" next to a sleeping couple, and advertises his website that he built with squarespace.","[('website', 1.0), ('squarespace', 0.7702), ('bridges', 0.4281), ('jeff', 0.4215), ('built', 0.2911)]"
2016,beer,"bud light """"""bud light party""""""",amy schumer and seth rogen form a political party.,"[('beer', 1.0), ('schumer', 0.5088), ('party', 0.4559), ('bud', 0.4275), ('light', 0.3916)]"
2016,car,"jeep """"""4x4ever""""""",,"[('car', 1.0), ('4x4ever', 0.633), ('jeep', 0.6178)]"
2016,car,"jeep """"""portraits""""""","in honor of the brands 75year anniversary, a montage of portraits of famous jeep owners and users is presented.","[('car', 1.0), ('jeep', 0.6473), ('portraits', 0.5788), ('75year', 0.4234), ('anniversary', 0.4107)]"
2016,car,"hyundai genesis """"""first date""""""","a father kevin hart lets his son borrow his hyundai genesis for his first date, but follows him around using the vehicles tracking system, culminating with him using an actual helicopter to track him.","[('car', 1.0), ('genesis', 0.5025), ('date', 0.4295), ('hyundai', 0.4221), ('hart', 0.3774)]"
2016,car,"honda ridgeline """"""a new truck to love""""""","a herd of sheep sing queens ""somebody to love"", while the truck bed audio system of the new ridgeline is demonstrated.","[('car', 1.0), ('ridgeline', 0.557), ('sheep', 0.4561), ('honda', 0.424), ('truck', 0.4016)]"
2016,car accessories,"weathertech """"""resources""""""",highlights the manufacturing process and the employees who produce weathertech products.,"[('car accessories', 1.0), ('weathertech', 0.7457), ('manufacturing', 0.5488), ('resources', 0.4871), ('employees', 0.3965)]"
2016,clothing,"marmot """"""love the outside""""""","a camper hangs outdoors with a marmot, and is slapped in the face when he attempts to kiss it.","[('clothing', 1.0), ('marmot', 0.6865), ('camper', 0.4912), ('kiss', 0.3681), ('slapped', 0.3491)]"
2016,food,"doritos """"""ultrasound""""""",a pregnant womans newborn child shares her husbands fondness for doritos.,"[('food', 1.0), ('doritos', 0.6731), ('ultrasound', 0.5398), ('pregnant', 0.3673), ('newborn', 0.3568)]"
2016,food,"doritos """"""doritos dogs""""""","a group of dogs evade a supermarkets ""no dogs"" policy to reach a doritos display.","[('food', 1.0), ('doritos', 0.7915), ('dogs', 0.434), ('supermarkets', 0.3307), ('evade', 0.3058)]"
2016,food,"heinz """"""weiner stampede""""""","a pack of weiner dogs, dressed like hot dogs, run in slow motion towards humans in heinz ketchup and mustard bottle costumes.","[('food', 1.0), ('weiner', 0.5555), ('heinz', 0.5478), ('stampede', 0.5395), ('dogs', 0.4254)]"
2016,food,"skittles """"""portrait""""""","steven tyler is presented with a living portrait of himself made from skittles, which explodes after trying to sing a high note ifilmn ""dcaptain america: civil warream on"".","[('food', 1.0), ('skittles', 0.727), ('tyler', 0.4991), ('portrait', 0.4987), ('steven', 0.4275)]"
2016,film,10 cloverfield lane ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('cloverfield', 0.7472), ('lane', 0.6525), ('tv', 0.5837)]"
2016,film,deadpool ,tv promo.,"[('film', 1.0), ('deadpool', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2016,film,captain america: civil war ,,"[('film', 1.0), ('captain', 0.5735), ('civil', 0.4446), ('war', 0.4421), ('america', 0.2962)]"
2016,film,independence day: resurgence ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('independence', 0.6529), ('tv', 0.5837), ('resurgence', 0.4793)]"
2016,film,jason bourne ,tv trailer.,"[('film', 1.0), ('bourne', 0.8713), ('trailer', 0.865), ('jason', 0.707), ('tv', 0.5837)]"
2016,film,the jungle book ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('jungle', 0.7317), ('book', 0.6384), ('tv', 0.5837)]"
2016,film,the secret life of pets ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('pets', 0.6902), ('tv', 0.5837), ('secret', 0.5306)]"
2016,film,teenage mutant ninja turtles: out of the shadows ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('turtles', 0.5923), ('tv', 0.5837), ('ninja', 0.5041)]"
2016,film,xmen: apocalypse ,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('xmen', 0.8384), ('apocalypse', 0.6396), ('tv', 0.5837)]"
2016,game,"the pokmon company """"""train on""""""",honors the 20th anniversary of the pokmon franchise.,"[('game', 1.0), ('pokmon', 0.6974), ('train', 0.4502), ('franchise', 0.447), ('anniversary', 0.4462)]"
2016,phone,"tmobile """"""drop the balls""""""",in reference to his incorrect announcement of the winner of miss universe 2015  steve harvey apologizes for an error in a verizon wireless ad because tmobile had doubled the size of its lte network in the past year.,"[('phone', 1.0), ('tmobile', 0.7267), ('balls', 0.4574), ('lte', 0.4255), ('drop', 0.4093)]"
2016,phone,"tmobile """"""restricted bling""""""","executives from a cellphone provider interrupt drake filming his music video for ""hotline bling"", seeking ""improvements"" to its lyrics to reflect caveats and hidden fees.","[('phone', 1.0), ('tmobile', 0.7136), ('drake', 0.5192), ('lyrics', 0.4503), ('restricted', 0.447)]"
2016,toothpaste,"colgate """"""every drop counts""""""","a water conservation psa, encouraging people to turn off their faucets while brushing their teeth.","[('toothpaste', 1.0), ('colgate', 0.6876), ('drop', 0.459), ('faucets', 0.4547), ('brushing', 0.4185)]"
2016,soft drink,"mountain dew kickstart """"""puppymonkeybaby""""""","as a parallel to mountain dew kickstart being a combination of three ""awesome"" things, a hybrid of a puppy, monkey, and baby is presented as another.","[('soft drink', 1.0), ('puppymonkeybaby', 0.6298), ('kickstart', 0.5088), ('dew', 0.4559), ('puppy', 0.3784)]"
2016,sports,"nfl """"""super bowl babies choir""""""","a group of ""super bowl babies"", who were all born within nine months of a super bowl having been won in their hometown, sing a footballthemed version of seals ""kiss from a rose"".","[('sports', 1.0), ('choir', 0.5103), ('nfl', 0.4694), ('seals', 0.4063), ('babies', 0.3941)]"
2017,beer,"bud light """"""ghost spuds""""""","in a parody of a christmas carol, the ghost of former bud light mascot spuds mackenzie helps a man learn the importance of hanging out with friends.","[('beer', 1.0), ('spuds', 0.4689), ('mackenzie', 0.4599), ('ghost', 0.4221), ('light', 0.3906)]"
2017,beer,"budweiser """"""born the hard way""""""","a story of the founder of anheuserbusch, adolphus busch, who left germany to start a brewery in st. louis, missouri.","[('beer', 1.0), ('budweiser', 0.6725), ('busch', 0.5545), ('brewery', 0.5119), ('adolphus', 0.4975)]"
2017,beer,"busch """"""buschhhhh""""""","the busch guy explains that busch still has the ""same great taste its always had"", as well as the same, seemingly neverending sound.","[('beer', 1.0), ('buschhhhh', 0.8643), ('busch', 0.8333), ('taste', 0.2752), ('sound', 0.2051)]"
2017,building materials,"84 lumber """"""the journey""""""","a mother and daughter embark on a journey to emigrate from mexico to the united states.the version aired during the game was edited due to the political overtones of its conclusion, which depicts a border wall.","[('building materials', 1.0), ('lumber', 0.6524), ('journey', 0.4549), ('border', 0.4512), ('mexico', 0.4171)]"
2017,car,"alfa romeo """"""dear predictable""""""",,"[('car', 1.0), ('alfa', 0.5662), ('predictable', 0.5143), ('romeo', 0.4831), ('dear', 0.2887)]"
2017,car,"alfa romeo """"""mozzafiato""""""",,"[('car', 1.0), ('mozzafiato', 0.6655), ('alfa', 0.5606), ('romeo', 0.4821)]"
2017,car,"alfa romeo """"""riding dragons""""""",,"[('car', 1.0), ('dragons', 0.5093), ('alfa', 0.4841), ('romeo', 0.4359), ('riding', 0.3711)]"
2017,car,"audi """"""daughter""""""","a father george clooney monologues as his daughter wins a soapbox derby race, wondering if he should tell her that about how ""that despite her education, her drive, her skills, her intelligence, she will automatically be valued as less than every man she meets""","[('car', 1.0), ('audi', 0.6392), ('clooney', 0.4983), ('daughter', 0.4626), ('monologues', 0.3259)]"
2017,car,buick,cam newton joins a peewee football team.,"[('car', 1.0), ('buick', 1.0), ('football', 0.4518), ('cam', 0.4311), ('peewee', 0.4184)]"
2017,car,"kia niro """"""heros journey""""""",melissa mccarthy gets injured in various ways whilst trying to protest various environmental causes.,"[('car', 1.0), ('niro', 0.5453), ('kia', 0.5412), ('journey', 0.4582), ('mccarthy', 0.4016)]"
2017,car,"lexus lc """"""man and machine""""""","freestyle dancer lil buck performs a routine to sias ""move your body"" inspired by the ""humanlike movement"" of the lexus lc. the ad also launched the lexus brands new tagline, ""experience amazing"".","[('car', 1.0), ('lexus', 0.7276), ('freestyle', 0.4619), ('movement', 0.43), ('machine', 0.4156)]"
2017,cleaner,"mr. clean """"""cleaner of your dreams""""""","a woman dances with mr. clean as they clean a house together, but she is actually daydreaming.","[('cleaner', 1.0), ('daydreaming', 0.4808), ('clean', 0.4725), ('dances', 0.4573), ('dreams', 0.3991)]"
2017,film,baywatch,tv promo.,"[('film', 1.0), ('baywatch', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2017,film,the fate of the furious,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('furious', 0.7986), ('tv', 0.5837), ('fate', 0.4067)]"
2017,film,ghost in the shell,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('ghost', 0.7407), ('shell', 0.717), ('tv', 0.5837)]"
2017,film,guardians of the galaxy vol. 2,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('guardians', 0.6755), ('tv', 0.5837), ('galaxy', 0.5596)]"
2017,film,"logan """"""grace""""""",tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('logan', 0.677), ('grace', 0.6131), ('tv', 0.5837)]"
2017,film,pirates of the caribbean: dead men tell no tales,tv trailer.,"[('film', 1.0), ('trailer', 0.865), ('pirates', 0.602), ('tv', 0.5837), ('tales', 0.5789)]"
2017,restaurant,"buffalo wild wings """"""the conspiracy""""""",brett favre learns what is responsible for all of his interceptions.,"[('restaurant', 1.0), ('favre', 0.6929), ('interceptions', 0.5926), ('buffalo', 0.5583), ('wings', 0.529)]"
2017,tax preparation,"turbotax """"""humpty hospital""""""","hospitalized after falling off a wall whilst doing his taxes an event whose aftermath was seen in a prequel ad aired during the afc championship game, humpty dumpty asks questions to a turbotax advisor using its mobile app.","[('tax preparation', 1.0), ('turbotax', 0.6748), ('dumpty', 0.5581), ('hospital', 0.4589), ('humpty', 0.4522)]"
2017,technology,"intel """"""brady everyday""""""",tom bradys personal life is presented with 360degree instant replay technology.,"[('technology', 1.0), ('brady', 0.5393), ('intel', 0.4928), ('bradys', 0.4771), ('replay', 0.4363)]"
2017,tv series,24: legacy fox,promo,"[('tv series', 1.0), ('promo', 1.0), ('fox', 0.6321), ('legacy', 0.4912), ('24', 0.4466)]"
2017,tv series,empire fox,promo,"[('tv series', 1.0), ('promo', 1.0), ('empire', 0.7556), ('fox', 0.7375)]"
2017,tv series,genius national geographic,"albert einstein geoffrey rush plays a short medley of songs on violin, including lady gagas ""bad romance"" the ad aired immediately following the super bowl li halftime show featuring her.","[('tv series', 1.0), ('geographic', 0.5117), ('rush', 0.4369), ('medley', 0.4339), ('gagas', 0.4288)]"
2017,tv series,shots fired fox,promo,"[('tv series', 1.0), ('promo', 1.0), ('fox', 0.717), ('shots', 0.4959), ('fired', 0.4823)]"
2017,tv series,stranger things netflix,season 2 promo.,"[('tv series', 1.0), ('promo', 0.7117), ('stranger', 0.6653), ('netflix', 0.6534), ('season', 0.4488)]"
2017,tv series,"the handmaids tale hulu """"""my name is offred""""""",tv promo.,"[('tv series', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('handmaids', 0.4649), ('hulu', 0.4566)]"
2017,video game,"nintendo switch """"""switch and play""""""","a showcase of launch titles for the upcoming video game console, including most prominently, the legend of zelda: breath of the wild.","[('video game', 1.0), ('switch', 0.6502), ('zelda', 0.6233), ('play', 0.4403), ('nintendo', 0.4267)]"
2017,website,"airbnb """"""we accept""""""",presents a promulticulturalism message. airbnb and its cofounder brian chesky have been a vocal opponent of executive order 13769 which briefly barred residents of certain muslimpopulated countries from entering the united states.,"[('website', 1.0), ('airbnb', 0.6723), ('accept', 0.3927), ('chesky', 0.3842), ('executive', 0.3049)]"
2017,web hosting,"squarespace """"""calling johnmalkovich.com""""""","john malkovich complains to someone that had already taken the domain name ""johnmalkovich.com"".","[('web hosting', 1.0), ('johnmalkovich', 0.5911), ('squarespace', 0.5834), ('malkovich', 0.5342), ('domain', 0.394)]"
2017,web hosting,wix.com,"a chef creates a website for his bistro, unaware that two people gal gadot and jason statham are fighting inside it.","[('web hosting', 1.0), ('wix', 0.7088), ('com', 0.5949), ('chef', 0.563), ('bistro', 0.4768)]"
2017,wireless,"sprint """"""no need for extreme measures""""""",a person drops a car to fake his own death in order to cancel his contract with verizon wireless and switch to sprint.,"[('wireless', 1.0), ('sprint', 0.6224), ('extreme', 0.4127), ('car', 0.3757), ('verizon', 0.3682)]"
2017,wireless,"tmobile """"""bagofunlimited""""""",martha stewart and snoop dogg explain an unlimited data plan using cannabisrelated puns.,"[('wireless', 1.0), ('bagofunlimited', 0.6485), ('tmobile', 0.6363), ('cannabisrelated', 0.4785), ('snoop', 0.4593)]"
2017,wireless,"tmobile """"""nsfwireless""""""",kristen schaal suggestively speaks with a verizon wireless customer service agent on the phone.,"[('wireless', 1.0), ('tmobile', 0.7308), ('nsfwireless', 0.642), ('verizon', 0.5589), ('kristen', 0.488)]"
2017,wireless,"tmobile """"""punished""""""","kristen schaal enjoys being ""punished"" with the ""pain"" of verizon wireless hidden fees and charges, which is said to be ""fine, if youre into that sort of thing.""","[('wireless', 1.0), ('tmobile', 0.6982), ('punished', 0.5303), ('verizon', 0.5233), ('charges', 0.3317)]"
2017,wireless,"tmobile """"""unlimitedmoves""""""",justin bieber presents a history of touchdown celebrations.,"[('wireless', 1.0), ('tmobile', 0.7864), ('unlimitedmoves', 0.632), ('bieber', 0.54), ('justin', 0.5324)]"
2018,airlines,"turkish airlines """"""five senses""""""",dr. oz talks about discovering the world using the five senses.,"[('airlines', 1.0), ('senses', 0.5864), ('turkish', 0.4622), ('discovering', 0.4541), ('oz', 0.4289)]"
2018,beer,"budweiser """"""stand by you""""""",a budweiser employee who is working at anheuserbuschs cartersville brewery gets called to work to donate canned water for disaster relief. the ad used real employees who worked at the brewery.,"[('beer', 1.0), ('budweiser', 0.7208), ('brewery', 0.5684), ('stand', 0.468), ('employee', 0.4226)]"
2018,beer,"bud light """"""ye olde pep talk""""""","a medieval king tries to motivate his small villager army who is vastly outnumbered, until he brings up the fact that they are out of bud light and that the enemy has cases of them.","[('beer', 1.0), ('pep', 0.5369), ('medieval', 0.4588), ('olde', 0.4055), ('outnumbered', 0.3973)]"
2018,beer,"bud light """"""the bud knight""""""","the big battle is interrupted by the bud knight, who is on his own quest.","[('beer', 1.0), ('knight', 0.4834), ('bud', 0.4302), ('battle', 0.4243), ('quest', 0.4218)]"
2018,beer,"michelob ultra """"""the perfect fit""""""",chris pratt prepares for his acting gig as a spokesman.,"[('beer', 1.0), ('michelob', 0.6467), ('pratt', 0.5109), ('spokesman', 0.4997), ('ultra', 0.4907)]"
2018,beer,"michelob ultra """"""i like beer""""""","chris pratt sings ""i like beer"" a song by tom t. hall, covered by jon pardi along with a bunch of people working out.","[('beer', 1.0), ('michelob', 0.7209), ('pratt', 0.4313), ('ultra', 0.4059), ('song', 0.3545)]"
2018,candy,"mms """"""human""""""",red mm picks up a magic penny on the ground and uses a wish to transform into a human danny devito.,"[('candy', 1.0), ('mms', 0.6091), ('human', 0.5351), ('penny', 0.4743), ('devito', 0.4398)]"
2018,car accessories,"weathertech """"""american factory""""""",the building of a weathertech factory in the u.s. is shown.,"[('car accessories', 1.0), ('weathertech', 0.7277), ('building', 0.5154), ('factory', 0.4461), ('american', 0.2955)]"
2018,car,"ram trucks """"""built to serve""""""",martin luther king jr. speaks about the virtues of serving others.,"[('car', 1.0), ('trucks', 0.5812), ('ram', 0.4904), ('luther', 0.4854), ('virtues', 0.4295)]"
2018,car,"ram 1500 """"""icelandic vikings""""""","vikings drive a dodge ram and their boat into minneapolis to the tune of queens ""we will rock you"", only to turn around when they find out their team is not playing.","[('car', 1.0), ('vikings', 0.5739), ('icelandic', 0.528), ('ram', 0.3798), ('minneapolis', 0.3582)]"
2018,car,"hyundai """"""hope detector""""""",hyundai owners that attended the super bowl experience are brought aside to meet cancer patients who were helped by hyundais donations to cancer research.,"[('car', 1.0), ('hyundai', 0.4997), ('detector', 0.4947), ('cancer', 0.3589), ('hope', 0.3416)]"
2018,car,"jeep wrangler """"""antimanifesto""""""","as a wrangler drives through a river, a narrator explains that this particular commercial would not feature ""grandiose speeches and big declarations"", and would instead be an ""antimanifesto"".","[('car', 1.0), ('antimanifesto', 0.6481), ('wrangler', 0.6176), ('jeep', 0.6108), ('commercial', 0.4311)]"
2018,car,"jeep wrangler rubicon """"""jeep jurassic""""""",jeff goldblum relives driving in jurassic park,"[('car', 1.0), ('jeep', 0.6469), ('wrangler', 0.5801), ('jurassic', 0.5671), ('rubicon', 0.5629)]"
2018,car,"jeep cherokee """"""the road""""""",,"[('car', 1.0), ('jeep', 0.6543), ('cherokee', 0.6405), ('road', 0.5367)]"
2018,car,"kia stinger """"""feel something again""""""",an old steven tyler rewinds time by driving his kia backwards on a race track. features race car driver emerson fittipaldi,"[('car', 1.0), ('stinger', 0.5405), ('steven', 0.4644), ('kia', 0.4574), ('tyler', 0.4543)]"
2018,car / film,"lexus ls 500 f sport  black panther""""long live the king""","after defeating an opponent to secure an item, the black panther follows a lexus ls 500 f sport and jumps through its sunroof where he transforms back to tchalla.","[('car', 1.0), ('film', 1.0), ('panther', 0.5832), ('lexus', 0.5463), ('sunroof', 0.3702)]"
2018,car,"toyota """"""good odds""""""","follows the odds of a paralympic skier of winning a gold medal, with the odds being reduced bit by bit as the woman grows and trains, and eventually reveals to be gold medalist lauren woolstencroft.","[('car', 1.0), ('toyota', 0.5686), ('odds', 0.5627), ('skier', 0.4756), ('woolstencroft', 0.4666)]"
2018,car,"toyota """"""mobility anthem""""""",the idea of mobility is portrayed as a broad concept unifies people of all ages and abilities.,"[('car', 1.0), ('mobility', 0.6989), ('anthem', 0.5263), ('toyota', 0.5167), ('concept', 0.3439)]"
2018,car,"toyota """"""one team""""""","a priest, a rabbi, and an imam carpool to the game together.","[('car', 1.0), ('toyota', 0.6527), ('imam', 0.5603), ('priest', 0.5535), ('rabbi', 0.5472)]"
2018,cleaner,"febreze """"""the only man whose bleep doesnt stink""""""",daves family and friends remark that daves bleep doesnt stink.,"[('cleaner', 1.0), ('bleep', 0.5967), ('daves', 0.5187), ('febreze', 0.4111), ('stink', 0.382)]"
2018,drink,"stella artois and water.org """"""taps""""""","matt damon asks that if 1 of the people watching the ad buy the beer, the company will give clean water to one million people for five years.","[('drink', 1.0), ('taps', 0.5584), ('stella', 0.483), ('artois', 0.405), ('damon', 0.3806)]"
2018,film,avengers: infinity war,tv trailer,"[('film', 1.0), ('trailer', 0.8716), ('avengers', 0.7663), ('infinity', 0.5548), ('tv', 0.5028)]"
2018,film,the cloverfield paradox netflix,tv trailerthe film became available on netflix immediately following the conclusion of the game.,"[('film', 1.0), ('cloverfield', 0.7195), ('netflix', 0.6367), ('paradox', 0.4729), ('trailerthe', 0.4635)]"
2018,film,mission: impossible fallout,trailer,"[('film', 1.0), ('trailer', 1.0), ('fallout', 0.6934), ('mission', 0.5574), ('impossible', 0.3299)]"
2018,film,a quiet place ,,"[('film', 1.0), ('quiet', 0.6885), ('place', 0.6392)]"
2018,film,skyscraper,tv trailer,"[('film', 1.0), ('skyscraper', 1.0), ('trailer', 0.8716), ('tv', 0.5028)]"
2018,film,solo: a star wars story,tv promo,"[('film', 1.0), ('promo', 0.8285), ('solo', 0.657), ('tv', 0.6197), ('star', 0.3486)]"
2018,food,"avocados from mexico """"""guacworld""""""",a utopian society sealed from the rest of the world realize that their tortilla chips for their guacamole are outside.,"[('food', 1.0), ('avocados', 0.6908), ('tortilla', 0.5553), ('guacworld', 0.5411), ('utopian', 0.5162)]"
2018,food,"jack in the box """"""jack vs. martha""""""","jack interrupts martha stewarts show in order to show off his newest creations. martha then challenges jack, pulling his nose off.","[('food', 1.0), ('jack', 0.6315), ('martha', 0.4817), ('stewarts', 0.36), ('box', 0.354)]"
2018,food,"kraft foods """"""family greatly""""""",kraft assembles a montage of photos and videos from families celebrating game day.,"[('food', 1.0), ('kraft', 0.6164), ('montage', 0.4352), ('celebrating', 0.4301), ('foods', 0.4214)]"
2018,food,"pringles """"""wow 2018""""""",bill hader and other actors remark about stacking different flavored pringles.,"[('food', 1.0), ('pringles', 0.69), ('hader', 0.4244), ('2018', 0.3856), ('flavored', 0.3729)]"
2018,food,"wendys """"""iceberg""""""","wendys slams mcdonalds for using flashfrozen beef patties, likening being frozen to the iceberg and the titanic.","[('food', 1.0), ('wendys', 0.6901), ('iceberg', 0.6466), ('patties', 0.5017), ('mcdonalds', 0.4984)]"
2018,food / drink,"doritos and mountain dew """"""doritos blaze vs. mtn dew ice""""""","peter dinklage and morgan freeman perform a lipsync rap battle with dinklage lipsyncing to a busta rhymes performed verse of chris browns ""look at me now"" and freeman to ""get ur freak on"" by missy elliott","[('food', 1.0), ('drink', 1.0), ('doritos', 0.5955), ('dew', 0.5082), ('rap', 0.4139)]"
2018,headphones,monster,"a guy on the subway ricegum is inspired by iggy azalea to create a new set of monster headphones. also features joe perry, joey fatone, yo gotti and others.","[('headphones', 1.0), ('monster', 1.0), ('ricegum', 0.4684), ('iggy', 0.4365), ('subway', 0.3725)]"
2018,investments,"etrade """"""this is getting old""""""","shows a number of senior citizens who are still trying to do physically active jobs because they dont have enough to retire. played to ""dayo the banana boat song""","[('investments', 1.0), ('etrade', 0.6322), ('retire', 0.4683), ('senior', 0.4121), ('old', 0.3935)]"
2018,laundry detergent,"persil """"""gametime staintime""""""",the professional steps out of a big screen to clean a guacamole stain off a viewers shirt.,"[('laundry detergent', 1.0), ('staintime', 0.6574), ('persil', 0.6134), ('gametime', 0.5183), ('guacamole', 0.4666)]"
2018,laundry detergent,"tide """"""its a tide ad""""""","david harbour examines several typical types of commercials one would see during the super bowl, only to reveal that theyre all actually tide ads because they have clean clothes.","[('laundry detergent', 1.0), ('tide', 0.6936), ('commercials', 0.5503), ('ad', 0.418), ('ads', 0.3743)]"
2018,laundry detergent,"tide """"""its another tide ad""""""",the old spice guy isaiah mustafa is interrupted when his ad suddenly becomes a tide ad.,"[('laundry detergent', 1.0), ('tide', 0.6873), ('ad', 0.4468), ('mustafa', 0.4121), ('isaiah', 0.3746)]"
2018,laundry detergent,"tide """"""its yet another tide ad""""""","a beer commercial with clydesdales, and the mr. clean commercial from the previous game, are similarly hijacked by tide ads.","[('laundry detergent', 1.0), ('tide', 0.7002), ('commercial', 0.5445), ('ads', 0.4228), ('ad', 0.3878)]"
2018,laundry detergent,"tide""its yet another tide ad, again""","a woman playing tennis hurts her back, so david harbour arrives and pitches tide detergent.","[('laundry detergent', 1.0), ('tide', 0.6968), ('tennis', 0.4899), ('ad', 0.436), ('detergent', 0.3915)]"
2018,loans,"rocket mortgage """"""translator""""""","keeganmichael key helps translate for people the words of a hair stylist, a waiter, big seans rap music and a loan officer.","[('loans', 1.0), ('translator', 0.5293), ('keeganmichael', 0.5254), ('mortgage', 0.505), ('rocket', 0.4945)]"
2018,retail,"groupon """"""who wouldnt""""""",tiffany haddish talks about how using groupon supports local businesses.,"[('retail', 1.0), ('groupon', 0.708), ('businesses', 0.3801), ('tiffany', 0.3563), ('wouldnt', 0.3439)]"
2018,shoes,"skechers """"""first class for your feet""""""",howie long gets a seat upgrade.,"[('shoes', 1.0), ('skechers', 0.6655), ('howie', 0.5956), ('feet', 0.4033), ('seat', 0.4031)]"
2018,soft drink,"coca-cola """"""the wonder of us""""""",people of various cultures read lines from a poem about a coke for them.,"[('soft drink', 1.0), ('coca-cola', 0.7149), ('coke', 0.4612), ('cultures', 0.4443), ('poem', 0.4024)]"
2018,soft drink,"diet coke """"""groove""""""","actress hayley magnus tries the diet coke twisted mango flavor, and cant help dancing afterwards.","[('soft drink', 1.0), ('coke', 0.5874), ('groove', 0.4491), ('hayley', 0.4432), ('mango', 0.4207)]"
2018,soft drink,"pepsi """"""this is the pepsi""""""","jimmy fallon narrates about some of the celebrities who have appeared in pepsi commercials, with footage of britney spears and michael jackson. cindy crawford recreates her pepsi drinking moment, and her teenage son presley gerber appears. kyrie irving appears as uncle drew, and jeff gordon also appears.this was the leadin commercial to the halftime show.","[('soft drink', 1.0), ('pepsi', 0.7554), ('commercials', 0.485), ('celebrities', 0.4062), ('commercial', 0.4025)]"
2018,sports,"2018 winter olympics nbc """"""best of u.s.: lindsey vonn""""""","skier lindsey vonn prepares for the 2018 winter olympics. other ads for chloe kim  mikaela shiffrin, nathan chen  and shaun white were prepared.shaun whites ad was the first ad played after the game ended.","[('sports', 1.0), ('olympics', 0.496), ('nbc', 0.4476), ('skier', 0.4319), ('vonn', 0.4201)]"
2018,sports,2018 winter olympics nbca number of promotions by nbc for their olympic coverage.,,"[('sports', 1.0), ('nbca', 0.5741), ('olympics', 0.5337), ('nbc', 0.5208), ('olympic', 0.5024)]"
2018,sports,"nfl """"""touchdown celebrations to come""""""","after multiple teaser ads, eli manning and odell beckham jr. recreate an iconic scene from dirty dancing.","[('sports', 1.0), ('touchdown', 0.6912), ('celebrations', 0.444), ('nfl', 0.4417), ('manning', 0.4048)]"
2018,sports,"nfl """"""next season starts now""""""","featuring jalen ramsey, marquette king, devonta freeman, jared goff, stefon diggs and travis kelce. also stars nba player nick young, who at the time was playing for the golden state warriors.","[('sports', 1.0), ('nfl', 0.5221), ('starts', 0.4591), ('warriors', 0.434), ('marquette', 0.4203)]"
2018,sports,"2018 fifa world cup telemundo """"""telemundo ya prepara su mejor grito gol para rusia 2018""""""",andrs cantor lets out his signature goal call over footage from previous fifa world cups  ending with a mic drop.,"[('sports', 1.0), ('telemundo', 0.5606), ('cantor', 0.4468), ('mic', 0.4419), ('rusia', 0.4194)]"
2018,tax preparation,"intuit """"""giant skip ad""""""","a brief ad that discusses how people dont like to watch ads and want to skip it. shows the characters from their cganimated full short film  ""a giant story"" which was posted in advance.","[('tax preparation', 1.0), ('ads', 0.558), ('skip', 0.5345), ('giant', 0.4818), ('ad', 0.4811)]"
2018,tax preparation,"turbotax """"""the noise in the attic""""""",a sheeted ghost in the attic approaches an open laptop where a representative talks about their tax software program.,"[('tax preparation', 1.0), ('turbotax', 0.6218), ('attic', 0.5066), ('noise', 0.4574), ('laptop', 0.418)]"
2018,tax preparation,"turbotax """"""the thing under the bed""""""",features cganimated boogeyman talking about how easy it is to answer the questions in the software program.,"[('tax preparation', 1.0), ('turbotax', 0.6623), ('boogeyman', 0.5113), ('software', 0.4641), ('bed', 0.4496)]"
2018,technology,"amazon echo """"""alexa loses her voice""""""","when alexa loses her voice, amazon representatives tell their ceo jeff bezos that they have replacement voices ready, which turn out to be celebrities such as gordon ramsay, cardi b, rebel wilson and others.","[('technology', 1.0), ('alexa', 0.6196), ('echo', 0.4184), ('voice', 0.4157), ('bezos', 0.3985)]"
2018,tv series,castle rock hulu,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('hulu', 0.7218), ('tv', 0.6197), ('castle', 0.5659)]"
2018,tv series,good girls nbc,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('nbc', 0.729), ('tv', 0.6197), ('girls', 0.4138)]"
2018,tv series,rise nbc,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('nbc', 0.7453), ('rise', 0.6759), ('tv', 0.6197)]"
2018,tv series,this is us nbc,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('nbc', 0.7763), ('tv', 0.6197)]"
